Latitude,Longitude,City,Country,Max Temperature (F),Humidity,Cloudiness,Wind Speed (mph),Date
-14.936039153536683,13.322562062594642,lubango,ao,69.8,56.0,0.0,3.44,1610528669
39.65840881958846,-48.245995198924476,torbay,ca,28.99,93.0,75.0,8.05,1610528850
-89.97941253287792,37.550463720794,port elizabeth,za,71.6,83.0,90.0,13.8,1610528788
-35.58013692626884,165.1689056293202,ahipara,nz,65.88,84.0,10.0,6.15,1610528850
-63.58393965291965,-38.583739801093515,ushuaia,ar,41.0,75.0,0.0,8.05,1610528649
-56.47316195201924,104.6293176922556,busselton,au,81.0,36.0,0.0,1.01,1610528771
-27.799069132251404,52.22822367075352,taolanaro,mg,,,,,
-18.581854638479413,-38.201757172064475,caravelas,br,74.07,90.0,33.0,2.62,1610528851
6.987012120604248,68.02381736289053,kulhudhuffushi,mv,76.6,91.0,100.0,10.6,1610528851
-14.544987407406936,-34.559420740423576,conde,br,75.2,100.0,40.0,6.58,1610528851
33.33951007141671,-130.99926447067605,half moon bay,us,53.6,93.0,90.0,0.94,1610528852
-53.198595048326865,-17.768423278031605,arraial do cabo,br,75.2,88.0,0.0,12.66,1610528852
68.06113855037017,-59.60901862898186,upernavik,gl,12.36,96.0,100.0,18.1,1610528673
-85.0702332243733,-101.53118517797955,punta arenas,cl,44.6,81.0,90.0,3.44,1610528852
30.684151832112406,153.27892858911838,hasaki,jp,48.2,70.0,20.0,3.44,1610528853
-14.88513557391714,68.27018366864078,quatre cocos,mu,82.99,74.0,75.0,16.11,1610528853
10.564169120235292,35.5755206244319,mendi,et,84.76,21.0,16.0,3.02,1610528853
-54.341731964721816,15.10958223771894,hermanus,za,73.99,80.0,99.0,8.01,1610528853
54.13402236159661,72.19190614302093,poltavka,ru,-16.74,86.0,0.0,7.56,1610528629
84.28708362949155,155.00153492994423,chokurdakh,ru,-38.33,83.0,52.0,1.81,1610528854
-33.58364793133629,130.5420100218799,flinders,au,73.99,79.0,10.0,8.99,1610528854
34.61807082047653,-119.72093129765233,santa barbara,us,50.0,87.0,1.0,6.17,1610528854
67.7500474132869,-85.26995138740529,attawapiskat,ca,,,,,
71.02919943069253,-154.22029940095035,barrow,us,-0.4,78.0,1.0,24.16,1610528854
-74.69204195343997,172.3222098570049,bluff,nz,55.99,86.0,98.0,1.01,1610528716
68.06565061729435,-147.73294838611366,college,us,7.0,71.0,75.0,2.26,1610528704
-14.200627499090615,1.0167780666256192,jamestown,sh,67.37,84.0,83.0,16.4,1610528715
82.42011542709034,-142.21667940122592,tuktoyaktuk,ca,-15.63,90.0,99.0,9.78,1610528855
5.96975129514307,-40.005575029899234,acarau,br,78.58,81.0,100.0,7.81,1610528856
34.537880511085206,13.675579250285125,dingli,mt,55.99,82.0,75.0,10.36,1610528856
-33.20718641890867,-57.88649344136401,mercedes,uy,61.0,81.0,23.0,6.58,1610528659
33.570166982685066,20.12407600556719,tukrah,ly,59.56,60.0,35.0,21.45,1610528856
60.23262094152713,13.236595899287067,arvika,se,26.6,100.0,90.0,11.5,1610528856
45.025976690094154,70.65722991639706,zhanatas,kz,,,,,
87.99499600316904,64.25368343925265,amderma,ru,,,,,
44.66981778837109,67.42913377478035,zhanakorgan,kz,30.34,91.0,46.0,6.38,1610528857
-39.52008142840707,22.136853167774717,bredasdorp,za,71.6,83.0,90.0,17.27,1610528857
52.07027912126793,-51.09123095534309,bonavista,ca,28.0,93.0,100.0,1.14,1610528650
-71.41931881602443,40.720440732124416,port alfred,za,69.01,96.0,100.0,1.01,1610528649
-9.379165288337077,156.8650559789519,gizo,sb,84.42,72.0,100.0,9.51,1610528858
73.54719055675719,34.87986898055033,skalistyy,ru,,,,,
-37.14945329273769,172.65246276939308,dargaville,nz,62.96,90.0,3.0,4.38,1610528858
-86.51394758334652,-166.46260368614395,mataura,pf,,,,,
32.19039592918037,95.30159004017497,along,in,72.72,40.0,34.0,2.51,1610528859
-51.906939119989374,6.581368917652469,cape town,za,84.2,51.0,20.0,9.22,1610528571
-42.20160131299928,-178.08604813400282,vaini,to,77.0,100.0,40.0,2.3,1610528715
-1.5168313295391016,-80.20796227826455,colimes,ec,77.0,78.0,40.0,8.05,1610528860
13.341168988562359,96.46663618127218,dawei,mm,81.88,38.0,31.0,5.64,1610528694
16.07499664259116,17.659239786187072,faya,td,,,,,
35.956504803767615,108.35804008740814,tongchuan,cn,45.59,46.0,0.0,2.3,1610528654
-71.57980281099135,53.8498997562524,east london,za,73.4,94.0,90.0,8.05,1610528717
-15.469922192477696,155.32092539744787,samarai,pg,85.23,78.0,100.0,5.57,1610528861
34.99202839099412,-153.096679794686,kapaa,us,73.4,83.0,1.0,6.91,1610528753
-15.447731485157519,-80.34967346378882,pisco,pe,68.0,77.0,100.0,8.05,1610528861
-81.00837738970431,150.92550153222209,hobart,au,71.6,64.0,75.0,9.22,1610528693
6.461353064792078,95.40185338733147,sabang,id,81.61,77.0,61.0,20.94,1610528662
29.48303613956199,35.90652400995552,wadi musa,jo,62.64,29.0,100.0,12.46,1610528862
2.6800401704955448,119.86853178134533,ligayan,ph,82.49,75.0,100.0,7.74,1610528862
80.02705607834639,142.57565696700073,nizhneyansk,ru,,,,,
15.579907290358719,170.17932702701694,butaritari,ki,80.31,82.0,100.0,17.76,1610528863
72.61234475181902,179.4673825523301,leningradskiy,ru,-15.88,86.0,100.0,14.07,1610528863
-65.25455325367724,-129.72623987372276,rikitea,pf,77.76,79.0,0.0,16.93,1610528863
55.330431967714276,-153.5520044303556,kodiak,us,26.6,100.0,1.0,6.91,1610528863
-18.41816934260396,-174.69223527601912,neiafu,to,81.55,81.0,87.0,14.83,1610528863
-27.402145245808818,123.02525742690585,esperance,au,66.2,48.0,7.0,19.57,1610528864
45.146178564508006,66.66227888677187,shieli,kz,31.01,85.0,41.0,6.51,1610528633
40.67963736308127,-4.479419706149486,avila,es,14.0,85.0,0.0,1.45,1610528864
68.99509641704577,-55.18984271091186,kangaatsiaq,gl,17.92,97.0,99.0,5.48,1610528673
22.260997270009597,-52.68679665587818,codrington,ag,,,,,
45.16963812492068,-88.6180023550126,suamico,us,27.0,86.0,1.0,8.05,1610528800
-27.198298443988342,147.96647053150554,roma,au,84.2,31.0,0.0,9.31,1610528865
-41.412979482295306,81.23131637815283,mahebourg,mu,82.4,74.0,75.0,16.11,1610528701
71.25951927529204,-170.66671459766286,lavrentiya,ru,-2.94,87.0,100.0,7.76,1610528627
